origin,ground_truth,latency,hops
RIPE,BR,184.555,19.0
RIPE,BR,187.2955,19.25
RIPE,BR,205.6365,15.0
RIPE,BR,117.788,19.75
RIPE,BR,170.58275,10.25
RIPE,BR,214.2905,19.0
RIPE,BR,167.848,12.0
RIPE,BR,195.60975,17.5
RIPE,BR,198.34975,19.75
RIPE,BR,197.84275,15.25
RIPE,BR,202.6665,19.75
RIPE,BR,196.763,20.0
RIPE,BR,207.67125,8.0
RIPE,BR,196.726,20.0
RIPE,BR,199.19175,15.75
RIPE,BR,172.79875,12.25
RIPE,BR,203.149,15.25
RIPE,BR,201.072,19.25
RIPE,BR,200.77125,19.5
RIPE,BR,196.34175,19.25
RIPE,BR,181.055,3.5
RIPE,BR,160.80625,10.75
RIPE,BR,211.66275,8.0
RIPE,BR,139.56775,19.25
RIPE,BR,191.7715,19.25
RIPE,BR,201.75725,15.5
RIPE,BR,186.15425,19.25
RIPE,BR,210.31475,17.0
RIPE,BR,255.56925,19.75
RIPE,BR,203.54,20.25
RIPE,CA,97.781,9.0
RIPE,CA,106.713,15.0
RIPE,CA,99.7225,13.5
RIPE,CA,109.361,15.25
RIPE,CA,103.11875,12.75
RIPE,CA,107.895,15.5
RIPE,CA,131.47525,13.25
RIPE,CA,173.288,14.0
RIPE,CA,180.623,11.0
RIPE,CA,107.02575,11.5
RIPE,CA,117.348,10.0
RIPE,CA,116.24575,14.0
RIPE,CA,111.83325,12.5
RIPE,CA,149.7275,15.0
RIPE,CA,166.3715,13.25
RIPE,CA,220.19875,12.25
RIPE,CA,149.07025,14.0
RIPE,CA,110.1825,11.25
RIPE,CA,147.76375,14.25
RIPE,CA,110.40025,15.0
RIPE,CA,154.21525,12.5
RIPE,CA,116.57725,10.25
RIPE,CA,148.93,14.5
RIPE,CA,107.367,15.5
RIPE,CA,101.47175,15.5
RIPE,CA,92.1605,9.0
RIPE,CA,144.507,13.75
RIPE,CA,114.629,12.75
RIPE,CA,111.50275,15.75
RIPE,CA,155.19275,12.25
RIPE,CA,110.698,13.25
RIPE,CA,105.01625,11.0
RIPE,CA,124.6315,10.25
RIPE,CA,126.5795,13.5
RIPE,CA,106.8865,10.75
RIPE,CA,104.8735,14.5
RIPE,CA,115.486,12.5
RIPE,CA,93.692,13.5
RIPE,CA,101.7555,13.25
RIPE,CH,37.672,11.75
RIPE,CH,51.81625,14.0
RIPE,CH,48.1545,15.25
RIPE,CH,66.88725,14.0
RIPE,CH,35.0025,11.75
RIPE,CH,38.0365,13.5
RIPE,CH,39.825,11.75
RIPE,CH,58.5855,13.25
RIPE,CH,40.924,14.0
RIPE,CH,43.986,18.0
RIPE,CH,47.906,17.0
RIPE,CH,56.3255,20.5
RIPE,CH,36.913,7.75
RIPE,CH,34.81,15.5
RIPE,CH,35.5555,11.25
RIPE,CH,49.57575,15.0
RIPE,CH,44.15225,12.0
RIPE,CH,56.4375,12.25
RIPE,CH,46.8935,21.75
RIPE,CH,39.74775,13.25
RIPE,CH,58.28575,9.25
RIPE,CH,64.5265,14.25
RIPE,CH,42.6345,13.0
RIPE,CH,59.293,19.0
RIPE,CH,46.0265,16.0
RIPE,CH,53.15775,13.5
RIPE,CH,37.128,12.0
RIPE,CH,45.2755,10.0
RIPE,CH,38.0485,18.5
RIPE,CH,42.8095,16.0
RIPE,CH,39.34425,15.25
RIPE,CH,37.50475,6.0
RIPE,CH,44.50075,16.25
RIPE,CH,44.3505,15.25
RIPE,CH,33.297,14.25
RIPE,CH,38.1755,12.0
RIPE,CH,42.6435,13.25
RIPE,CH,40.1715,13.25
RIPE,CH,36.30475,14.75
RIPE,CH,34.87875,15.75
RIPE,CH,36.80725,1.5
RIPE,CH,44.4535,15.75
RIPE,CH,49.6025,12.25
RIPE,CH,43.7695,10.25
RIPE,CH,35.47975,11.5
RIPE,CH,36.81925,13.75
RIPE,CH,43.87075,13.0
RIPE,CH,43.9905,21.0
RIPE,CH,36.99475,12.0
RIPE,CH,58.277,21.0
RIPE,CH,41.65025,13.25
RIPE,CH,40.2435,7.25
RIPE,CH,41.699,18.0
RIPE,CH,54.31375,11.75
RIPE,CH,41.8775,18.25
RIPE,CH,39.32425,12.0
RIPE,CH,66.47125,9.5
RIPE,CH,37.6105,14.75
RIPE,CH,48.4405,12.5
RIPE,CH,63.13725,14.5
RIPE,CH,50.0575,17.25
RIPE,CL,244.62275,11.25
RIPE,CL,227.54875,7.25
RIPE,CL,230.16725,14.0
RIPE,CL,236.60525,14.75
RIPE,CL,200.20925,20.0
RIPE,CL,201.0685,17.75
RIPE,CL,203.026,19.0
RIPE,CL,220.45875,11.25
RIPE,CL,229.046,11.25
RIPE,CL,202.2285,17.5
RIPE,CL,232.0895,13.75
RIPE,CL,202.7675,20.5
RIPE,CL,201.1075,19.5
RIPE,CL,230.07425,7.0
RIPE,CL,319.1225,11.75
RIPE,CL,274.068,15.5
RIPE,CN,265.51375,16.0
RIPE,CN,255.07875,11.0
RIPE,CN,281.904,20.5
RIPE,CN,210.8755,16.5
RIPE,CN,212.67725,20.0
RIPE,CN,257.2825,11.25
RIPE,CM,245.39325,16.0
RIPE,CM,208.977,16.0
